R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
1,0.3433333333333333,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
2,0.49666666666666665,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
3,0.5666666666666667,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
4,0.6433333333333333,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
5,0.71,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
6,0.7466666666666667,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
7,0.78,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
8,0.79,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
9,0.8066666666666666,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
10,0.83,SPH,-1.0,-1.0,1.0,34.0,0.1,,,,
1,0.33666666666666667,RF+B,-1.0,-1.0,1.0,34.0,,,,,
2,0.43333333333333335,RF+B,-1.0,-1.0,1.0,34.0,,,,,
3,0.56,RF+B,-1.0,-1.0,1.0,34.0,,,,,
4,0.6333333333333333,RF+B,-1.0,-1.0,1.0,34.0,,,,,
5,0.6766666666666666,RF+B,-1.0,-1.0,1.0,34.0,,,,,
6,0.7133333333333334,RF+B,-1.0,-1.0,1.0,34.0,,,,,
7,0.74,RF+B,-1.0,-1.0,1.0,34.0,,,,,
8,0.7733333333333333,RF+B,-1.0,-1.0,1.0,34.0,,,,,
9,0.7966666666666666,RF+B,-1.0,-1.0,1.0,34.0,,,,,
10,0.81,RF+B,-1.0,-1.0,1.0,34.0,,,,,
1,0.3233333333333333,CPI,0.3,0.7,,,,,,,
2,0.44,CPI,0.3,0.7,,,,,,,
3,0.53,CPI,0.3,0.7,,,,,,,
4,0.61,CPI,0.3,0.7,,,,,,,
5,0.6533333333333333,CPI,0.3,0.7,,,,,,,
6,0.6933333333333334,CPI,0.3,0.7,,,,,,,
7,0.7333333333333333,CPI,0.3,0.7,,,,,,,
8,0.7533333333333333,CPI,0.3,0.7,,,,,,,
9,0.77,CPI,0.3,0.7,,,,,,,
10,0.79,CPI,0.3,0.7,,,,,,,
1,0.3333333333333333,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
2,0.44333333333333336,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
3,0.51,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
4,0.6066666666666667,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
5,0.66,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
6,0.6966666666666667,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
7,0.73,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
8,0.7566666666666667,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
9,0.7866666666666666,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
10,0.8033333333333333,Tailored Approach,0.3,0.7,1.0,34.0,0.1,0.3433333333333333,0.33666666666666667,0.3233333333333333,0.6326666666666667
1,0.30666666666666664,CPI,0.3,0.8,,,,,,,
2,0.41333333333333333,CPI,0.3,0.8,,,,,,,
3,0.5066666666666667,CPI,0.3,0.8,,,,,,,
4,0.5633333333333334,CPI,0.3,0.8,,,,,,,
5,0.6133333333333333,CPI,0.3,0.8,,,,,,,
6,0.6533333333333333,CPI,0.3,0.8,,,,,,,
7,0.67,CPI,0.3,0.8,,,,,,,
8,0.7166666666666667,CPI,0.3,0.8,,,,,,,
9,0.75,CPI,0.3,0.8,,,,,,,
