;R_e;A@e;Method;RA@e;Run;gini;p value;SPH Executed
0;1;0.06666666666666667;CPI;1.0;1;0.4;0.85;6
1;2;0.12333333333333334;CPI;1.4594594594594594;1;0.4;0.85;6
2;3;0.16666666666666666;CPI;1.86;1;0.4;0.85;6
3;4;0.19666666666666666;CPI;2.1864406779661016;1;0.4;0.85;6
4;5;0.24333333333333335;CPI;2.7260273972602738;1;0.4;0.85;6
5;6;0.2733333333333333;CPI;3.0853658536585367;1;0.4;0.85;6
6;7;0.32666666666666666;CPI;3.7244897959183674;1;0.4;0.85;6
7;8;0.35;CPI;4.0095238095238095;1;0.4;0.85;6
8;9;0.37;CPI;4.2792792792792795;1;0.4;0.85;6
9;10;0.38;CPI;4.4298245614035086;1;0.4;0.85;6
