;Unnamed: 0;Unnamed: 0.1;Class entropy (C);Imbalance Degree (C);Fishers DR (C);Class Overlap (C);Border Points (C);Inter/Intra Class Dist (C);NN Error (C);Class entropy (G);Imbalance Degree (G);Fishers DR (G);Class Overlap (G);Border Points (G);Inter/Intra Class Dist (G);NN Error (G);CHI;SIL;Dunn Index;Gini (C);Gini (G);avg #n groups;avg #n classes+groups;min #n groups;max #n groups;Acc (X);Acc (G);Acc (G - X);c;gs;n;group_imbalance;cls_imbalance
0;0,0;0,0;0,9479037710044858;0,021079330153712217;0.11363264237020225;0,4951976046424235;0,841;;0,7909999999999999;0,9711844102057636;0,03402575931308505;0,5856268054375247;9,509677749763204e-21;0,8125;0,5067295189375265;0,65625;1,963880922928413;-0,015965702229127653;0,0;0,2225999999999999;0,2079310344827585;34,48275862068966;15,151515151515152;17;90;0,18;0,5833333333333334;0,4033333333333334;10;0,0;1000;very_balanced;very_balanced
1;1,0;0,0;0,9509177706181122;0,02324941207433462;0.10860744559566247;0,4578163328794349;0,825;;0,7659999999999999;0,9499943831869078;0,057156242679784475;0,5887688585614624;3,0940337157627526e-23;0,5625;0,5019825482492357;0,4375;1,9505855663264204;-0,017725979525232118;0,0;0,2491999999999999;0,2079310344827585;34,48275862068966;15,151515151515152;17;90;0,21666666666666667;0,6;0,3833333333333333;10;0,0;1000;very_balanced;balanced
2;2,0;0,0;0,9402562519594756;0,032172431719527106;0.10550183882236723;0,3917449557497715;0,8109999999999999;;0,754;0,865976134606799;0,15782584581253467;0,5275370049848035;4,2575528445835676e-21;0,625;0,5029661979770955;0,53125;1,9261214061282188;-0,018675051248821482;0,0;0,2916000000000001;0,2079310344827585;34,48275862068966;15,151515151515152;17;90;0,23;0,6433333333333333;0,4133333333333333;10;0,0;1000;very_balanced;medium
3;3,0;0,0;0,8655325813569005;0,08006748616856563;0.09677776358577897;0,3806718531587475;0,772;;0,7140000000000001;0,6437998048207069;0,5351854678675012;0,5708115576256;4,0281947709314616e-34;0,5625;0,4942815913202971;0,34375;1,8970825155949589;-0,017420896664581194;0,0;0,431;0,2079310344827585;34,48275862068966;15,151515151515152;17;90;0,3;0,85;0,55;10;0,0;1000;very_balanced;imbalanced
4;4,0;0,0;0,8280129308256351;0,10376560287974868;0.1008509067618554;0,4419258587659141;0,743;;0,674;0,4966963645051813;0,7058823529411764;0,5508903964453614;1,1310364041575632e-70;0,28125;0,4823230905960621;0,15625;1,8846180604828908;-0,017918858475088083;0,0;0,4815999999999999;0,2079310344827585;34,48275862068966;15,151515151515152;17;90;0,3033333333333333;0,9166666666666666;0,6133333333333333;10;0,0;1000;very_balanced;very_imbalanced
5;5,0;0,0;0,9094237217707808;0,04452958557607722;0.09690259587483586;0,39847001393911496;0,778;;0,6559999999999999;0,9967063787007636;0,0038363171355499937;0,3747130922757947;1,5769498872759643e-18;0,6346153846153846;0,49835963878852;0,4423076923076923;1,8563192877936883;-0,010586363014031742;0,0;0,3446;0,2284827586206897;34,48275862068966;15,384615384615385;17;93;0,2833333333333333;0,63;0,3466666666666667;10;0,0;1000;balanced;very_balanced
6;6,0;0,0;0,9085360661256688;0,0491137741756672;0.09680655070920273;0,33176270574015754;0,797;;0,6629999999999999;0,9424083187778801;0,07374679866405065;0,33398125156261144;3,749041939946296e-18;0,4807692307692308;0,4968278166204763;0,38461538461538464;1,8322273051647668;-0,015429479452684075;0,0;0,35439999999999994;0,2284827586206897;34,48275862068966;15,384615384615385;17;93;0,25;0,6466666666666666;0,3966666666666666;10;0,0;1000;balanced;balanced
7;7,0;0,0;0,8980637818794327;0,058695812547547965;0.0984518783082618;0,3184329292796123;0,779;;0,652;0,8526440013900524;0,1714614499424626;0,3621740441986016;2,8988344267358087e-17;0,4423076923076923;0,4976580191079429;0,4230769230769231;1,7327197321495666;-0,01581707924662236;0,0;0,3720000000000001;0,2284827586206897;34,48275862068966;15,384615384615385;17;93;0,28;0,6466666666666666;0,3666666666666666;10;0,0;1000;balanced;medium
8;8,0;0,0;0,8171003688190108;0,11355536049069505;0.10044377640936196;0,2492098084457578;0,738;;0,606;0,5724739548610158;0,5938726764468757;0,3929400062753163;4,9216815662975815e-24;0,3076923076923077;0,4825496334836184;0,25;1,7017645933694243;-0,015553430405341897;0,0;0,4984000000000001;0,2284827586206897;34,48275862068966;15,384615384615385;17;93;0,35;0,8466666666666667;0,4966666666666667;10;0,0;1000;balanced;imbalanced
9;9,0;0,0;0,7752998007972657;0,1432960915597069;0.10495816389589152;0,2696802761632192;0,695;;0,573;0,34941360927609805;0,8287671232876712;0,4981250913192177;3,072093144494265e-68;0,21153846153846154;0,4775805711851182;0,1346153846153846;1,8951427765987479;-0,012081472196737778;0,0;0,5448000000000001;0,2284827586206897;34,48275862068966;15,384615384615385;17;93;0,3466666666666667;0,92;0,5733333333333334;10;0,0;1000;balanced;very_imbalanced
